question_id,date,category,question_text,baseline_success,baseline_actually_answered,baseline_has_expected,baseline_confidence,baseline_text,baseline_error,baseline_time,baseline_input_tokens,baseline_output_tokens,togomcp_success,togomcp_has_expected,togomcp_confidence,togomcp_text,togomcp_error,togomcp_time,togomcp_input_tokens,togomcp_output_tokens,togomcp_cache_creation_input_tokens,togomcp_cache_read_input_tokens,tools_used,tool_details,value_add,expected_answer,notes
61,2026-01-13,Precision,What is the ChEBI ID for acetylsalicylic acid (aspirin)?,True,True,True,1.0,The ChEBI ID for acetylsalicylic acid (aspirin) is **CHEBI:15365**.,,2.2087738513946533,57,30,True,True,1.0,"Perfect! The ChEBI ID for acetylsalicylic acid (aspirin) is **CHEBI:15365**.

This appears multiple times in the search results across different ontologies, confirming that CHEBI:15365 is the correct identifier for acetylsalicylic acid in the ChEBI (Chemical Entities of Biological Interest) database.",,30.457346200942993,23,556,2246,106228,"mcp__pubdictionaries__find_ids, mcp__togomcp__run_sparql, mcp__ols__search","[{""name"": ""mcp__pubdictionaries__find_ids"", ""input"": {""labels"": ""acetylsalicylic acid, aspirin"", ""dictionary"": ""ChEBI""}}, {""name"": ""mcp__togomcp__run_sparql"", ""input"": {""dbname"": ""chebi"", ""sparql_query"": ""PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>\nPREFIX chebi: <http://purl.obolibrary.org/obo/>\n\nSELECT DISTINCT ?chebi_id ?label\nWHERE {\n  ?compound rdfs:label ?label .\n  FILTER(CONTAINS(LCASE(?label), \""acetylsalicylic acid\"") || CONTAINS(LCASE(?label), \""aspirin\""))\n  BIND(REPLACE(STR(?compound), \""http://purl.obolibrary.org/obo/CHEBI_\"", \""\"") AS ?chebi_id)\n}\nLIMIT 10""}}, {""name"": ""mcp__ols__search"", ""input"": {""query"": ""acetylsalicylic acid""}}]",VALUABLE,CHEBI:15365,Database: ChEBI. Verified in chebi_exploration.md. Aspirin has formula C9H8O4 and mass 180.157. Tests chemical entity precision in ontology.
62,2026-01-13,Precision,What is the UniProt mnemonic for human BRCA1?,True,True,True,1.0,"The UniProt mnemonic for human BRCA1 is **BRCA1_HUMAN**.

The full UniProt entry identifier is P38398, and BRCA1_HUMAN is the entry name (mnemonic) that follows UniProt's naming convention of PROTEINNAME_SPECIES.",,3.6239378452301025,53,74,True,True,1.0,"The UniProt mnemonic for human BRCA1 is **BRCA1_HUMAN**.

This corresponds to UniProt accession number P38398, which encodes the Breast cancer type 1 susceptibility protein.",,18.08760094642639,15,382,1067,79594,"mcp__togomcp__search_uniprot_entity, mcp__togomcp__run_sparql","[{""name"": ""mcp__togomcp__search_uniprot_entity"", ""input"": {""query"": ""human BRCA1"", ""limit"": 5}}, {""name"": ""mcp__togomcp__run_sparql"", ""input"": {""dbname"": ""uniprot"", ""sparql_query"": ""PREFIX up: <http://purl.uniprot.org/core/>\nPREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>\n\nSELECT ?mnemonic ?recommendedName\nWHERE {\n  <http://purl.uniprot.org/uniprot/P38398> up:mnemonic ?mnemonic ;\n                                            up:recommendedName ?recName .\n  ?recName up:fullName ?recommendedName .\n}""}}]",VALUABLE,BRCA1_HUMAN,"Database: UniProt. Verified in uniprot_exploration.md. P38398 is the accession, BRCA1_HUMAN is the mnemonic. Tests protein naming conventions."
63,2026-01-13,Completeness,How many topical descriptors are in MeSH?,True,False,False,0.0,"I don't have access to the current exact number of topical descriptors in MeSH (Medical Subject Headings) with certainty from my training data.

However, I can tell you that MeSH contains approximately **28,000-30,000 descriptors** in total, though this number changes as MeSH is updated annually with new terms added and occasionally some terms deleted or modified.

The descriptors are organized into hierarchical categories (tree structures) and include various types such as:
- Diseases
- Chemicals and drugs
- Anatomy
- Organisms
- Techniques and equipment
- Health care
- And other biomedical concepts

For the most current and precise count, you would need to check the latest version of MeSH on the National Library of Medicine's website, as they update it annually.",,5.8239219188690186,49,181,True,True,1.0,"Based on the MeSH database information I retrieved, **MeSH contains approximately 30,248 topical descriptors** (also called subject headings).

These topical descriptors are the main subject headings used for indexing biomedical literature in PubMed and other NLM databases. They are organized hierarchically in 16 major categories (labeled A-Z) and include topics across all areas of biomedicine.

In addition to the ~30,000 topical descriptors, the MeSH database also contains:
- ~250,000 supplementary chemical records
- ~467,000 concepts
- ~870,000 terms
- Over 2.5 million total entities

The topical descriptors are updated annually and represent the core controlled vocabulary for biomedical literature indexing.",,16.794910192489624,9,266,6643,52642,mcp__togomcp__get_MIE_file,"[{""name"": ""mcp__togomcp__get_MIE_file"", ""input"": {""dbname"": ""mesh""}}]",CRITICAL,"30,248",Database: MeSH. Verified in mesh_exploration.md via SPARQL COUNT of TopicalDescriptor class. MeSH provides controlled vocabulary for biomedicine. Tests terminology completeness.
64,2026-01-13,Completeness,How many chemical ingredients are catalogued in MediaDive?,True,False,False,0.0,"I don't have specific information about the number of chemical ingredients catalogued in MediaDive from my training knowledge. MediaDive isn't a system I'm familiar with in terms of its chemical ingredient database or catalogue size.

If you're looking for this information, I'd recommend:
- Checking MediaDive's official documentation or website
- Contacting MediaDive's support team directly
- Looking for any published statistics or data sheets about the platform

I want to be honest that I don't know this answer with certainty rather than provide potentially incorrect information.",,4.478672027587891,49,121,True,True,1.0,"Based on the MediaDive database, there are **1,489 chemical ingredients** catalogued.

Additionally, here are some interesting statistics about these ingredients:
- **41%** have GMO (Glycan Molecular Object) identifiers
- **39%** have CAS (Chemical Abstracts Service) Registry numbers
- **32%** have ChEBI (Chemical Entities of Biological Interest) identifiers
- **18%** have PubChem identifiers
- **13%** have KEGG identifiers
- **7%** have MetaCyc identifiers

These ingredients are used to create 3,289 standardized culture media recipes for growing bacteria, archaea, fungi, yeast, microalgae, and phages.",,48.881261110305786,22,618,6597,111875,"mcp__togomcp__run_sparql, mcp__togomcp__get_MIE_file, mcp__togomcp__run_sparql","[{""name"": ""mcp__togomcp__run_sparql"", ""input"": {""dbname"": ""mediadive"", ""sparql_query"": ""\nSELECT (COUNT(DISTINCT ?ingredient) AS ?count)\nWHERE {\n  ?ingredient a ?type .\n  FILTER(CONTAINS(STR(?type), \""chemical\"") || CONTAINS(STR(?type), \""ingredient\"") || CONTAINS(STR(?type), \""compound\""))\n}\n""}}, {""name"": ""mcp__togomcp__get_MIE_file"", ""input"": {""dbname"": ""mediadive""}}, {""name"": ""mcp__togomcp__run_sparql"", ""input"": {""dbname"": ""mediadive"", ""sparql_query"": ""PREFIX schema: <https://purl.dsmz.de/schema/>\n\nSELECT (COUNT(DISTINCT ?ingredient) AS ?count)\nFROM <http://rdfportal.org/dataset/mediadive>\nWHERE {\n  ?ingredient a schema:Ingredient .\n}""}}]",CRITICAL,"1,489","Database: MediaDive. Verified in mediadive_exploration.md. Ingredients include salts, carbon sources, vitamins, etc. Tests cultivation ingredient coverage."
65,2026-01-13,Integration,What PubChem CID corresponds to ChEMBL compound CHEMBL25 (aspirin)?,True,True,True,1.0,"The PubChem CID for CHEMBL25 (aspirin) is **2244**.

Aspirin (acetylsalicylic acid) is one of the most well-known pharmaceutical compounds, and it has consistent identifiers across major chemical databases:
- ChEMBL ID: CHEMBL25
- PubChem CID: 2244
- CAS Registry Number: 50-78-2",,4.557579040527344,61,99,True,True,1.0,"Perfect! I found the answer. The **PubChem CID for ChEMBL compound CHEMBL25 (aspirin) is 2244**.

To confirm this is correct:
- ChEMBL25 is confirmed to be aspirin in the ChEMBL database
- PubChem CID 2244 corresponds to aspirin

So the mapping is: **CHEMBL25 → PubChem CID 2244**",,18.79702115058899,17,405,977,79411,"mcp__togomcp__togoid_convertId, mcp__togomcp__get_pubchem_compound_id, mcp__togomcp__search_chembl_molecule","[{""name"": ""mcp__togomcp__togoid_convertId"", ""input"": {""ids"": ""CHEMBL25"", ""route"": ""chembl.compound,pubchem.compound""}}, {""name"": ""mcp__togomcp__get_pubchem_compound_id"", ""input"": {""compound_name"": ""aspirin""}}, {""name"": ""mcp__togomcp__search_chembl_molecule"", ""input"": {""query"": ""CHEMBL25"", ""limit"": 5}}]",VALUABLE,2244,"Database: ChEMBL, PubChem. Verified in chembl_exploration.md and pubchem_exploration.md. Tests compound identifier cross-referencing."
66,2026-01-13,Integration,What MONDO ID is mapped to NANDO Parkinson's disease (NANDO:1200010)?,True,False,True,1.0,"I don't have access to the specific mapping between NANDO:1200010 (Parkinson's disease in NANDO) and its corresponding MONDO ID in my training data.

However, Parkinson's disease in MONDO is typically represented as **MONDO:0005180**. This is the standard MONDO identifier for Parkinson's disease.

To confirm the exact mapping between NANDO:1200010 and MONDO, you would need to consult:
- The official NANDO database mappings
- Cross-reference files between NANDO and MONDO
- Ontology mapping services that include both terminologies",,6.127814769744873,61,142,True,True,1.0,"The MONDO ID mapped to NANDO:1200010 (Parkinson's disease) is **MONDO:0005180**.

This represents Parkinson's disease in the Mondo Disease Ontology, which provides a standardized way to reference this condition across different biological and medical databases.",,14.45023775100708,8,191,486,52654,mcp__togomcp__togoid_convertId,"[{""name"": ""mcp__togomcp__togoid_convertId"", ""input"": {""ids"": ""1200010"", ""route"": ""nando,mondo""}}]",CRITICAL,MONDO:0005180,"Database: NANDO, MONDO. Verified in nando_exploration.md via skos:closeMatch. Tests rare disease ontology integration."
67,2026-01-13,Currency,How many NMR structures are in the PDB?,True,False,False,0.0,"I don't have access to real-time data about the current contents of the Protein Data Bank (PDB), so I cannot give you an exact current number of NMR structures.

However, I can tell you that:

1. NMR spectroscopy is one of the major experimental methods used to determine protein and nucleic acid structures deposited in the PDB (alongside X-ray crystallography and cryo-EM).

2. Historically, NMR structures have represented roughly 10-15% of all PDB entries, though this percentage has been declining relative to the rapid growth of cryo-EM structures in recent years.

3. As of my training data, there were tens of thousands of NMR structures in the PDB, but the exact number depends on when you're asking.

For the most current statistics, you would need to check the PDB website directly (www.rcsb.org), where they maintain up-to-date statistics on the number of structures determined by each experimental method.",,5.872622966766357,49,223,True,False,0.0,"Based on my query of the Protein Data Bank (PDB), there are **14,057 NMR structures** in the PDB.

This represents approximately 7% of all PDB structures (which currently contains over 204,000 total entries). NMR spectroscopy is one of the three major experimental methods used for structure determination in the PDB, alongside X-ray crystallography (~85% of structures) and electron microscopy (~7% of structures).",,20.50115203857422,15,434,11428,89950,"mcp__togomcp__get_MIE_file, mcp__togomcp__run_sparql","[{""name"": ""mcp__togomcp__get_MIE_file"", ""input"": {""dbname"": ""pdb""}}, {""name"": ""mcp__togomcp__run_sparql"", ""input"": {""dbname"": ""pdb"", ""sparql_query"": ""PREFIX pdbx: <http://rdf.wwpdb.org/schema/pdbx-v50.owl#>\n\nSELECT (COUNT(DISTINCT ?entry) as ?nmr_structure_count)\nFROM <http://rdfportal.org/dataset/pdbj>\nWHERE {\n  ?entry a pdbx:datablock .\n  ?entry pdbx:has_exptlCategory/pdbx:has_exptl ?exptl .\n  ?exptl pdbx:exptl.method ?method .\n  FILTER(CONTAINS(LCASE(?method), \""nmr\""))\n}""}}]",CRITICAL,"13,902",Database: PDB. Verified in pdb_exploration.md via SPARQL GROUP BY experimental method. NMR is third most common after X-ray and cryo-EM. Tests structural methodology statistics.
68,2026-01-13,Currency,How many NANDO diseases have MONDO ontology mappings?,True,False,False,0.0,"I don't have specific information about the exact number of NANDO diseases that have MONDO ontology mappings in my training data.

To answer this question accurately, you would need to:

1. Access the NANDO (Nanbyo Disease Ontology) database or files
2. Query for entries that contain MONDO (Monarch Disease Ontology) cross-references or mappings
3. Count the unique NANDO diseases with such mappings

NANDO is a disease ontology focused on rare and intractable diseases in Japan, while MONDO is a comprehensive disease ontology that aims to harmonize and integrate multiple disease classification systems. It's common for disease ontologies to have cross-references to each other, but I don't have the specific statistics on NANDO-MONDO mappings in my training knowledge.

You would need to access the current NANDO data files (likely in OBO or OWL format) or query their database directly to get this specific count.",,6.783591270446777,51,216,True,True,0.5,"Based on my query of the NANDO (Nanbyo Data) database, **2,150 NANDO diseases have MONDO ontology mappings**.

This represents approximately 77% of the total 2,777 diseases in NANDO. The mappings are made using the `skos:closeMatch` property to link NANDO disease entries to corresponding MONDO (Monarch Disease Ontology) terms, which helps with international disease harmonization and integration with other biological databases.",,19.03174591064453,15,448,10511,89045,"mcp__togomcp__get_MIE_file, mcp__togomcp__run_sparql","[{""name"": ""mcp__togomcp__get_MIE_file"", ""input"": {""dbname"": ""nando""}}, {""name"": ""mcp__togomcp__run_sparql"", ""input"": {""dbname"": ""nando"", ""sparql_query"": ""PREFIX owl: <http://www.w3.org/2002/07/owl#>\nPREFIX skos: <http://www.w3.org/2004/02/skos/core#>\n\nSELECT (COUNT(DISTINCT ?disease) as ?count)\nFROM <http://nanbyodata.jp/ontology/nando>\nWHERE {\n  ?disease a owl:Class ;\n           skos:closeMatch ?mondo .\n  FILTER(STRSTARTS(STR(?mondo), \""http://purl.obolibrary.org/obo/MONDO_\""))\n}""}}]",CRITICAL,"Approximately 2,341 (84%)",Database: NANDO. Verified in nando_exploration.md. Cross-references enable integration with international disease ontologies. Tests rare disease integration status.
69,2026-01-13,Specificity,What glycosylation positions are known for Platelet glycoprotein Ib beta chain (P13224) in GlyCosmos?,True,False,True,1.0,"I don't have access to real-time data from the GlyCosmos database or any other external databases. GlyCosmos is a specialized glycoscience portal that integrates various glycan-related databases, and the specific glycosylation sites it lists for proteins can be updated as new experimental data becomes available.

To find the glycosylation positions for Platelet glycoprotein Ib beta chain (UniProt ID: P13224) in GlyCosmos, you would need to:

1. Visit the GlyCosmos portal (https://glycosmos.org)
2. Search for P13224 or ""GP1BB"" (the gene name)
3. Look at the glycosylation site annotations in their database

From general protein knowledge, GP1BB (platelet glycoprotein Ib beta chain) is known to be glycosylated, as it's a component of the GPIb-IX-V complex involved in platelet adhesion. It typically contains N-glycosylation sites, but for the specific positions documented in GlyCosmos, you would need to query their database directly.

I apologize that I cannot provide the specific positions from GlyCosmos without access to their current database.",,7.751826286315918,70,280,True,True,1.0,"Excellent! Now I have comprehensive information. Let me provide you with a summary of the glycosylation positions for Platelet glycoprotein Ib beta chain (P13224):

## Glycosylation Positions for Platelet glycoprotein Ib beta chain (P13224) in GlyCosmos

According to the GlyCosmos database, **three glycosylation sites** have been identified for Platelet glycoprotein Ib beta chain (UniProt: P13224):

### 1. **Position 65**
- **Site ID**: SITE00220623
- **Glycan structure**: Not specified
- **Evidence**: Listed in GlyGen database

### 2. **Position 66**
- **Site ID**: SITE00220624
- **Glycan structure**: Not specified
- **Evidence**: Supported by experimental studies
- **References**: 
  - PubMed: 21908432
  - PubMed: 3353370

### 3. **Position 83**
- **Site ID**: SITE00220625
- **Glycan structure**: **G57321FI** (GlyTouCan ID)
- **Evidence**: Listed in GlyGen database
- **Reference**: PubMed: 23584533

### Summary
All three glycosylation sites are located in the N-terminal region of the protein. Position 83 is the only site with a specific glycan structure identified (GlyTouCan ID: G57321FI), while positions 65 and 66 are known glycosylation sites but their specific glycan structures are not specified in the GlyCosmos database. The sites at positions 66 and 83 have experimental evidence from published literature.",,47.91722583770752,31,2121,10990,185948,"mcp__togomcp__run_sparql, mcp__togomcp__get_MIE_file, mcp__togomcp__run_sparql, mcp__togomcp__run_sparql, mcp__togomcp__run_sparql","[{""name"": ""mcp__togomcp__run_sparql"", ""input"": {""dbname"": ""glycosmos"", ""sparql_query"": ""\nPREFIX glycan: <http://purl.jp/bio/12/glyco/glycan#>\nPREFIX glytoucan: <http://www.glytoucan.org/glyco/owl/glytoucan#>\nPREFIX dcterms: <http://purl.org/dc/terms/>\nPREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>\nPREFIX up: <http://purl.uniprot.org/core/>\n\nSELECT DISTINCT ?position ?glycosylationType ?evidence\nWHERE {\n  ?protein a up:Protein ;\n           up:mnemonic \""GP1BB_HUMAN\"" .\n  \n  ?protein glycan:has_glycosylation_site ?site .\n  ?site glycan:has_position ?position .\n  OPTIONAL { ?site glycan:has_glycosylation_type ?glycosylationType }\n  OPTIONAL { ?site glycan:has_evidence ?evidence }\n}\nORDER BY ?position\n""}}, {""name"": ""mcp__togomcp__get_MIE_file"", ""input"": {""dbname"": ""glycosmos""}}, {""name"": ""mcp__togomcp__run_sparql"", ""input"": {""dbname"": ""glycosmos"", ""sparql_query"": ""\nPREFIX glycan: <http://purl.jp/bio/12/glyco/glycan#>\nPREFIX glycoconjugate: <http://purl.jp/bio/12/glyco/conjugate#>\nPREFIX sio: <http://semanticscience.org/resource/>\nPREFIX faldo: <http://biohackathon.org/resource/faldo#>\nPREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>\n\nSELECT DISTINCT ?site ?position ?glycan ?glycanId\nFROM <http://rdf.glycosmos.org/glycoprotein>\nWHERE {\n  ?protein a glycan:Glycoprotein ;\n    rdfs:seeAlso <http://purl.uniprot.org/uniprot/P13224> ;\n    glycoconjugate:glycosylated_at ?site .\n  \n  OPTIONAL { ?site faldo:location/faldo:position ?position }\n  OPTIONAL { \n    ?site glycoconjugate:has_saccharide ?glycan .\n  }\n}\nORDER BY ?position\n""}}, {""name"": ""mcp__togomcp__run_sparql"", ""input"": {""dbname"": ""glycosmos"", ""sparql_query"": ""\nPREFIX glycan: <http://purl.jp/bio/12/glyco/glycan#>\nPREFIX glycoconjugate: <http://purl.jp/bio/12/glyco/conjugate#>\nPREFIX glytoucan: <http://www.glytoucan.org/glyco/owl/glytoucan#>\nPREFIX sio: <http://semanticscience.org/resource/>\nPREFIX faldo: <http://biohackathon.org/resource/faldo#>\nPREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>\n\nSELECT DISTINCT ?position ?glycanId ?siteUrl\nFROM <http://rdf.glycosmos.org/glycoprotein>\nFROM <http://rdf.glytoucan.org/core>\nWHERE {\n  ?protein a glycan:Glycoprotein ;\n    rdfs:seeAlso <http://purl.uniprot.org/uniprot/P13224> ;\n    glycoconjugate:glycosylated_at ?site .\n  \n  ?site faldo:location/faldo:position ?position .\n  \n  OPTIONAL { \n    ?site glycoconjugate:has_saccharide ?glycan .\n    ?glycan glytoucan:has_primary_id ?glycanId .\n  }\n  \n  BIND(STR(?site) AS ?siteUrl)\n}\nORDER BY ?position\n""}}, {""name"": ""mcp__togomcp__run_sparql"", ""input"": {""dbname"": ""glycosmos"", ""sparql_query"": ""\nPREFIX glycan: <http://purl.jp/bio/12/glyco/glycan#>\nPREFIX glycoconjugate: <http://purl.jp/bio/12/glyco/conjugate#>\nPREFIX glytoucan: <http://www.glytoucan.org/glyco/owl/glytoucan#>\nPREFIX sio: <http://semanticscience.org/resource/>\nPREFIX faldo: <http://biohackathon.org/resource/faldo#>\nPREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>\nPREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>\n\nSELECT DISTINCT ?position ?p ?o\nFROM <http://rdf.glycosmos.org/glycoprotein>\nWHERE {\n  ?protein a glycan:Glycoprotein ;\n    rdfs:seeAlso <http://purl.uniprot.org/uniprot/P13224> ;\n    glycoconjugate:glycosylated_at ?site .\n  \n  ?site faldo:location/faldo:position ?position ;\n        ?p ?o .\n}\nORDER BY ?position ?p\n""}}]",CRITICAL,"Positions 65, 66, 83",Database: GlyCosmos. Verified in glycosmos_exploration.md via glycosylation site query. Tests specific glycoprotein modification data.
70,2026-01-13,Specificity,What is the Sialyl Lewis x epitope ID in GlyCosmos?,True,False,False,0.0,"I don't have specific information about the exact GlyCosmos ID for the Sialyl Lewis x (sLex) epitope in my training knowledge.

However, I can tell you that Sialyl Lewis x is a well-known glycan epitope with the structure:
**Neu5Ac(α2-3)Gal(β1-4)[Fuc(α1-3)]GlcNAc**

GlyCosmos is a glycoscience portal that integrates various glycan-related databases, and glycan structures are typically catalogued with specific identifiers in databases like GlyTouCan (which uses accession IDs starting with ""G"") or other glycan structure databases.

To find the specific GlyCosmos/GlyTouCan ID for Sialyl Lewis x, you would need to search their database directly, as these identifiers are database-specific assignments that I cannot recall with certainty from my training data.",,6.866296052932739,56,221,True,True,1.0,"The **Sialyl Lewis x epitope ID in GlyCosmos is EP0012**.

I also found several related epitopes:
- **EP0012**: Sialyl Lewis x (the standard epitope)
- **EP0014**: 6'-Sulfo Sialyl Lewis x (sulfated variant)
- **EP0016**: 6,6'-Disulfo Sialyl Lewis x (di-sulfated variant)
- **EP0043**: Sialyl Lewis x-i (isomeric form)

Sialyl Lewis x (EP0012) is an important carbohydrate epitope involved in cell adhesion processes, particularly in inflammation and cancer metastasis, where it mediates leukocyte rolling on endothelial cells through selectin binding.",,16.44268012046814,9,474,820,52649,mcp__togomcp__run_sparql,"[{""name"": ""mcp__togomcp__run_sparql"", ""input"": {""dbname"": ""glycosmos"", ""sparql_query"": ""\nPREFIX glycan: <http://purl.jp/bio/12/glyco/glycan#>\nPREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>\nPREFIX dcterms: <http://purl.org/dc/terms/>\n\nSELECT DISTINCT ?epitope ?id ?label\nWHERE {\n  ?epitope a glycan:Glycan_epitope .\n  ?epitope dcterms:identifier ?id .\n  ?epitope rdfs:label ?label .\n  FILTER(CONTAINS(LCASE(?label), \""sialyl lewis x\"") || CONTAINS(LCASE(?label), \""sialyl-lewis x\""))\n}\nLIMIT 10\n""}}]",CRITICAL,EP0012,Database: GlyCosmos. Verified in glycosmos_exploration.md. Sialyl Lewis x is important in inflammation and cancer metastasis. Tests glycoepitope identification.
